code,name,year,indicator,value
000001,平安银行,2026,ROE,2.83
000001,平安银行,2026,net_profit_margin,41.168466
000001,平安银行,2025,ROE,9.15
000001,平安银行,2025,net_profit_margin,32.434838
000001,平安银行,2025,ROE,8.28
000001,平安银行,2025,net_profit_margin,38.084594
000001,平安银行,2025,ROE,5.25
000001,平安银行,2025,net_profit_margin,35.843482
000001,平安银行,2025,ROE,2.8
000001,平安银行,2025,net_profit_margin,41.816725
000001,平安银行,2024,ROE,10.08
000001,平安银行,2024,net_profit_margin,30.340502
000001,平安银行,2024,ROE,9.1
000001,平安银行,2024,net_profit_margin,35.605205
000001,平安银行,2024,ROE,5.79
000001,平安银行,2024,net_profit_margin,33.551573
000001,平安银行,2024,ROE,3.15
000001,平安银行,2024,net_profit_margin,38.514315
000001,平安银行,2023,ROE,11.38
000001,平安银行,2023,net_profit_margin,28.206
000001,平安银行,2023,ROE,9.88
000001,平安银行,2023,net_profit_margin,31.053637
000001,平安银行,2023,ROE,6.22
000001,平安银行,2023,net_profit_margin,28.650265
000001,平安银行,2023,ROE,3.39
000001,平安银行,2023,net_profit_margin,32.378375
000001,平安银行,2022,ROE,12.36
000001,平安银行,2022,net_profit_margin,25.301425
000001,平安银行,2022,ROE,10.15
000001,平安银行,2022,net_profit_margin,26.513578
000001,平安银行,2022,ROE,5.97
000001,平安银行,2022,net_profit_margin,24.002955
000001,平安银行,2022,ROE,3.27
000001,平安银行,2022,net_profit_margin,27.809639
000001,平安银行,2021,ROE,10.85
000001,平安银行,2021,net_profit_margin,21.451975
000001,平安银行,2021,ROE,8.86
000001,平安银行,2021,net_profit_margin,22.906675
000001,平安银行,2021,ROE,5.17
000001,平安银行,2021,net_profit_margin,20.764052
000001,平安银行,2021,ROE,2.72
000001,平安银行,2021,net_profit_margin,24.246195
000001,平安银行,2020,ROE,9.58
000001,平安银行,2020,net_profit_margin,18.840447
000001,平安银行,2020,ROE,7.63
000001,平安银行,2020,net_profit_margin,19.215195
000001,平安银行,2020,ROE,4.59
000001,平安银行,2020,net_profit_margin,17.462465
000001,平安银行,2020,ROE,2.77
000001,平安银行,2020,net_profit_margin,22.538627
600036,招商银行,2026,ROE,3.37
600036,招商银行,2026,net_profit_margin,43.763515
600036,招商银行,2025,ROE,13.44
600036,招商银行,2025,net_profit_margin,44.773828
600036,招商银行,2025,ROE,10.47
600036,招商银行,2025,net_profit_margin,45.556041
600036,招商银行,2025,ROE,6.925
600036,招商银行,2025,net_profit_margin,44.363972
600036,招商银行,2025,ROE,3.5325
600036,招商银行,2025,net_profit_margin,44.791106
600036,招商银行,2024,ROE,14.49
600036,招商银行,2024,net_profit_margin,44.315353
600036,招商银行,2024,ROE,11.535
600036,招商银行,2024,net_profit_margin,45.126608
600036,招商银行,2024,ROE,7.72
600036,招商银行,2024,net_profit_margin,43.585532
600036,招商银行,2024,ROE,4.02
600036,招商银行,2024,net_profit_margin,44.484302
600036,招商银行,2023,ROE,16.22
600036,招商银行,2023,net_profit_margin,43.643751
600036,招商银行,2023,ROE,13.035
600036,招商银行,2023,net_profit_margin,44.17183
600036,招商银行,2023,ROE,8.775
600036,招商银行,2023,net_profit_margin,42.831446
600036,招商银行,2023,ROE,4.6075
600036,招商银行,2023,net_profit_margin,43.278608
600036,招商银行,2022,ROE,17.06
600036,招商银行,2022,net_profit_margin,40.400483
600036,招商银行,2022,ROE,13.665
600036,招商银行,2022,net_profit_margin,40.772486
600036,招商银行,2022,ROE,9.035
600036,招商银行,2022,net_profit_margin,39.087391
600036,招商银行,2022,ROE,4.81
600036,招商银行,2022,net_profit_margin,39.470594
600036,招商银行,2021,ROE,16.96
600036,招商银行,2021,net_profit_margin,36.477858
600036,招商银行,2021,ROE,13.5825
600036,招商银行,2021,net_profit_margin,37.530726
600036,招商银行,2021,ROE,9.03
600036,招商银行,2021,net_profit_margin,36.532364
600036,招商银行,2021,ROE,4.885
600036,招商银行,2021,net_profit_margin,38.051468
600036,招商银行,2020,ROE,15.73
600036,招商银行,2020,net_profit_margin,33.722915
600036,招商银行,2020,ROE,12.75
600036,招商银行,2020,net_profit_margin,34.805581
600036,招商银行,2020,ROE,8.47
600036,招商银行,2020,net_profit_margin,33.755973
600036,招商银行,2020,ROE,4.69
600036,招商银行,2020,net_profit_margin,36.492043
002594,比亚迪,2026,ROE,1.65
002594,比亚迪,2026,net_profit_margin,2.669943
002594,比亚迪,2025,ROE,15.31
002594,比亚迪,2025,net_profit_margin,4.199282
002594,比亚迪,2025,ROE,10.83
002594,比亚迪,2025,net_profit_margin,4.279205
002594,比亚迪,2025,ROE,7.43
002594,比亚迪,2025,net_profit_margin,4.319892
002594,比亚迪,2025,ROE,4.37
002594,比亚迪,2025,net_profit_margin,5.543035
002594,比亚迪,2024,ROE,26.05
002594,比亚迪,2024,net_profit_margin,5.351667
002594,比亚迪,2024,ROE,17.15
002594,比亚迪,2024,net_profit_margin,5.225978
002594,比亚迪,2024,ROE,9.67
002594,比亚迪,2024,net_profit_margin,4.686803
002594,比亚迪,2024,ROE,3.24
002594,比亚迪,2024,net_profit_margin,3.818401
002594,比亚迪,2023,ROE,24.4
002594,比亚迪,2023,net_profit_margin,5.20393
002594,比亚迪,2023,ROE,17.74
002594,比亚迪,2023,net_profit_margin,5.287179
002594,比亚迪,2023,ROE,9.36
002594,比亚迪,2023,net_profit_margin,4.397792
002594,比亚迪,2023,ROE,3.65
002594,比亚迪,2023,net_profit_margin,3.636401
002594,比亚迪,2022,ROE,16.14
002594,比亚迪,2022,net_profit_margin,4.177021
002594,比亚迪,2022,ROE,9.43
002594,比亚迪,2022,net_profit_margin,3.731346
002594,比亚迪,2022,ROE,3.75
002594,比亚迪,2022,net_profit_margin,2.611518
002594,比亚迪,2022,ROE,0.85
002594,比亚迪,2022,net_profit_margin,1.364021
002594,比亚迪,2021,ROE,3.73
002594,比亚迪,2021,net_profit_margin,1.835487
002594,比亚迪,2021,ROE,3.06
002594,比亚迪,2021,net_profit_margin,2.270465
002594,比亚迪,2021,ROE,1.5
002594,比亚迪,2021,net_profit_margin,1.992367
002594,比亚迪,2021,ROE,0.31
002594,比亚迪,2021,net_profit_margin,1.246715
002594,比亚迪,2020,ROE,7.43
002594,比亚迪,2020,net_profit_margin,3.84039
002594,比亚迪,2020,ROE,5.89
002594,比亚迪,2020,net_profit_margin,4.667442
002594,比亚迪,2020,ROE,2.84
002594,比亚迪,2020,net_profit_margin,3.939347
002594,比亚迪,2020,ROE,0.08
002594,比亚迪,2020,net_profit_margin,1.636137
300750,宁德时代,2026,ROE,5.98
300750,宁德时代,2026,net_profit_margin,17.607891
300750,宁德时代,2025,ROE,24.91
300750,宁德时代,2025,net_profit_margin,18.122722
300750,宁德时代,2025,ROE,17.76
300750,宁德时代,2025,net_profit_margin,18.474758
300750,宁德时代,2025,ROE,11.63
300750,宁德时代,2025,net_profit_margin,18.092752
300750,宁德时代,2025,ROE,5.49
300750,宁德时代,2025,net_profit_margin,17.545252
300750,宁德时代,2024,ROE,24.13
300750,宁德时代,2024,net_profit_margin,14.918486
300750,宁德时代,2024,ROE,17.73
300750,宁德时代,2024,net_profit_margin,14.952341
300750,宁德时代,2024,ROE,11.39
300750,宁德时代,2024,net_profit_margin,14.918347
300750,宁德时代,2024,ROE,5.18
300750,宁德时代,2024,net_profit_margin,14.034766
300750,宁德时代,2023,ROE,24.04
300750,宁德时代,2023,net_profit_margin,11.663518
300750,宁德时代,2023,ROE,15.98
300750,宁德时代,2023,net_profit_margin,11.034534
300750,宁德时代,2023,ROE,12.31
300750,宁德时代,2023,net_profit_margin,11.346711
300750,宁德时代,2023,ROE,5.8
300750,宁德时代,2023,net_profit_margin,11.321631
300750,宁德时代,2022,ROE,24.67
300750,宁德时代,2022,net_profit_margin,10.181909
300750,宁德时代,2022,ROE,15.98
300750,宁德时代,2022,net_profit_margin,9.333527
300750,宁德时代,2022,ROE,9.11
300750,宁德时代,2022,net_profit_margin,8.559664
300750,宁德时代,2022,ROE,1.76
300750,宁德时代,2022,net_profit_margin,4.058182
300750,宁德时代,2021,ROE,21.52
300750,宁德时代,2021,net_profit_margin,13.701523
300750,宁德时代,2021,ROE,11.36
300750,宁德时代,2021,net_profit_margin,12.465633
300750,宁德时代,2021,ROE,6.74
300750,宁德时代,2021,net_profit_margin,12.082045
300750,宁德时代,2021,ROE,3.01
300750,宁德时代,2021,net_profit_margin,12.228871
300750,宁德时代,2020,ROE,11.27
300750,宁德时代,2020,net_profit_margin,12.130326
300750,宁德时代,2020,ROE,7.62
300750,宁德时代,2020,net_profit_margin,11.68122
300750,宁德时代,2020,ROE,4.97
300750,宁德时代,2020,net_profit_margin,11.385981
300750,宁德时代,2020,ROE,1.93
300750,宁德时代,2020,net_profit_margin,10.021417
601012,隆基绿能,2026,ROE,-3.61
601012,隆基绿能,2026,net_profit_margin,-17.756139
601012,隆基绿能,2025,ROE,-11.15
601012,隆基绿能,2025,net_profit_margin,-9.253713
601012,隆基绿能,2025,ROE,-5.76
601012,隆基绿能,2025,net_profit_margin,-6.783048
601012,隆基绿能,2025,ROE,-4.31
601012,隆基绿能,2025,net_profit_margin,-7.918149
601012,隆基绿能,2025,ROE,-2.38
601012,隆基绿能,2025,net_profit_margin,-10.62399
601012,隆基绿能,2024,ROE,-13.07
601012,隆基绿能,2024,net_profit_margin,-10.507644
601012,隆基绿能,2024,ROE,-9.69
601012,隆基绿能,2024,net_profit_margin,-11.155145
601012,隆基绿能,2024,ROE,-7.7
601012,隆基绿能,2024,net_profit_margin,-13.645398
601012,隆基绿能,2024,ROE,-3.39
601012,隆基绿能,2024,net_profit_margin,-13.343403
601012,隆基绿能,2023,ROE,16.2
601012,隆基绿能,2023,net_profit_margin,8.252393
601012,隆基绿能,2023,ROE,17.37
601012,隆基绿能,2023,net_profit_margin,12.377865
601012,隆基绿能,2023,ROE,13.69
601012,隆基绿能,2023,net_profit_margin,14.149942
601012,隆基绿能,2023,ROE,5.69
601012,隆基绿能,2023,net_profit_margin,12.805188
601012,隆基绿能,2022,ROE,26.95
601012,隆基绿能,2022,net_profit_margin,11.444223
601012,隆基绿能,2022,ROE,20.61
601012,隆基绿能,2022,net_profit_margin,12.577674
601012,隆基绿能,2022,ROE,12.64
601012,隆基绿能,2022,net_profit_margin,12.809831
601012,隆基绿能,2022,ROE,5.42
601012,隆基绿能,2022,net_profit_margin,14.267551
601012,隆基绿能,2021,ROE,21.45
601012,隆基绿能,2021,net_profit_margin,11.211613
601012,隆基绿能,2021,ROE,18.23
601012,隆基绿能,2021,net_profit_margin,13.435766
601012,隆基绿能,2021,ROE,12.56
601012,隆基绿能,2021,net_profit_margin,14.221471
601012,隆基绿能,2021,ROE,6.88
601012,隆基绿能,2021,net_profit_margin,15.780425
601012,隆基绿能,2020,ROE,27.23
601012,隆基绿能,2020,net_profit_margin,15.938417
601012,隆基绿能,2020,ROE,20.8
601012,隆基绿能,2020,net_profit_margin,19.295967
601012,隆基绿能,2020,ROE,13.92
601012,隆基绿能,2020,net_profit_margin,21.076799
601012,隆基绿能,2020,ROE,6.52
601012,隆基绿能,2020,net_profit_margin,22.849539
600519,贵州茅台,2026,ROE,10.57
600519,贵州茅台,2026,net_profit_margin,52.224488
600519,贵州茅台,2025,ROE,32.53
600519,贵州茅台,2025,net_profit_margin,50.527886
600519,贵州茅台,2025,ROE,24.64
600519,贵州茅台,2025,net_profit_margin,52.080088
600519,贵州茅台,2025,ROE,17.89
600519,贵州茅台,2025,net_profit_margin,52.564068
600519,贵州茅台,2025,ROE,10.92
600519,贵州茅台,2025,net_profit_margin,54.889545
600519,贵州茅台,2024,ROE,36.02
600519,贵州茅台,2024,net_profit_margin,52.273359
600519,贵州茅台,2024,ROE,26.09
600519,贵州茅台,2024,net_profit_margin,52.188674
600519,贵州茅台,2024,ROE,17.63
600519,贵州茅台,2024,net_profit_margin,52.699132
600519,贵州茅台,2024,ROE,10.57
600519,贵州茅台,2024,net_profit_margin,54.357326
600519,贵州茅台,2023,ROE,34.19
600519,贵州茅台,2023,net_profit_margin,52.488038
600519,贵州茅台,2023,ROE,24.82
600519,贵州茅台,2023,net_profit_margin,53.091938
600519,贵州茅台,2023,ROE,16.7
600519,贵州茅台,2023,net_profit_margin,53.656376
600519,贵州茅台,2023,ROE,10.0
600519,贵州茅台,2023,net_profit_margin,55.539348
600519,贵州茅台,2022,ROE,30.26
600519,贵州茅台,2022,net_profit_margin,52.679467
600519,贵州茅台,2022,ROE,21.91
600519,贵州茅台,2022,net_profit_margin,53.13661
600519,贵州茅台,2022,ROE,14.57
600519,贵州茅台,2022,net_profit_margin,53.986559
600519,贵州茅台,2022,ROE,8.7
600519,贵州茅台,2022,net_profit_margin,55.586597
600519,贵州茅台,2021,ROE,29.9
600519,贵州茅台,2021,net_profit_margin,52.472406
600519,贵州茅台,2021,ROE,21.68
600519,贵州茅台,2021,net_profit_margin,53.01955
600519,贵州茅台,2021,ROE,14.2
600519,贵州茅台,2021,net_profit_margin,53.387934
600519,贵州茅台,2021,ROE,8.29
600519,贵州茅台,2021,net_profit_margin,54.167769
600519,贵州茅台,2020,ROE,31.41
600519,贵州茅台,2020,net_profit_margin,52.176295
600519,贵州茅台,2020,ROE,23.2
600519,贵州茅台,2020,net_profit_margin,53.337354
600519,贵州茅台,2020,ROE,15.34
