month,m2_yoy
2026年04月份,8.6
2026年03月份,8.5
2026年02月份,9.0
2026年01月份,9.0
2025年12月份,8.5
2025年11月份,8.0
2025年10月份,8.2
2025年09月份,8.4
2025年08月份,8.8
2025年07月份,8.8
2025年06月份,8.3
2025年05月份,7.9
2025年04月份,8.0
2025年03月份,7.0
2025年02月份,7.0
2025年01月份,7.0
2024年12月份,7.3
2024年11月份,7.1
2024年10月份,7.5
2024年09月份,6.8
2024年08月份,6.3
2024年07月份,6.3
2024年06月份,6.2
2024年05月份,7.0
2024年04月份,7.2
2024年03月份,8.3
2024年02月份,8.7
2024年01月份,8.7
2023年12月份,9.7
2023年11月份,10.0
2023年10月份,10.3
2023年09月份,10.3
2023年08月份,10.6
2023年07月份,10.7
2023年06月份,11.3
2023年05月份,11.6
2023年04月份,12.4
2023年03月份,12.7
2023年02月份,12.9
2023年01月份,12.6
2022年12月份,11.8
2022年11月份,12.4
2022年10月份,11.8
2022年09月份,12.1
2022年08月份,12.2
2022年07月份,12.0
2022年06月份,11.4
2022年05月份,11.1
2022年04月份,10.5
2022年03月份,9.7
2022年02月份,9.2
2022年01月份,9.8
2021年12月份,9.0
2021年11月份,8.5
2021年10月份,8.7
2021年09月份,8.3
2021年08月份,8.2
2021年07月份,8.3
2021年06月份,8.6
2021年05月份,8.3
2021年04月份,8.1
2021年03月份,9.4
2021年02月份,10.1
2021年01月份,9.4
2020年12月份,10.1
2020年11月份,10.7
2020年10月份,10.5
2020年09月份,10.9
2020年08月份,10.4
2020年07月份,10.7
2020年06月份,11.1
2020年05月份,11.1
2020年04月份,11.1
2020年03月份,10.1
2020年02月份,8.8
2020年01月份,8.4
2019年12月份,8.7
2019年11月份,8.2
2019年10月份,8.4
2019年09月份,8.4
2019年08月份,8.2
2019年07月份,8.1
2019年06月份,8.5
2019年05月份,8.5
2019年04月份,8.5
2019年03月份,8.6
2019年02月份,8.0
2019年01月份,8.4
2018年12月份,8.1
2018年11月份,8.0
2018年10月份,8.0
2018年09月份,8.3
2018年08月份,8.2
2018年07月份,8.5
2018年06月份,8.0
2018年05月份,8.3
2018年04月份,8.3
2018年03月份,8.2
2018年02月份,8.8
2018年01月份,8.6
2017年12月份,8.0654
2017年11月份,9.1148
2017年10月份,8.8771
2017年09月份,8.976
2017年08月份,8.5633
2017年07月份,8.89
2017年06月份,9.1013
2017年05月份,9.1289
2017年04月份,9.8426
2017年03月份,10.1178
2017年02月份,10.45
2017年01月份,10.7032
2016年12月份,11.3
2016年11月份,11.4
2016年10月份,11.6
2016年09月份,11.5
2016年08月份,11.4
2016年07月份,10.2
2016年06月份,11.8
2016年05月份,11.8
2016年04月份,12.8
2016年03月份,13.4
2016年02月份,13.3
2016年01月份,14.0
2015年12月份,13.3
2015年11月份,13.7
2015年10月份,13.5
2015年09月份,13.1
2015年08月份,13.3
2015年07月份,13.3
2015年06月份,11.8
2015年05月份,10.8
2015年04月份,10.1
2015年03月份,11.6
2015年02月份,12.5
2015年01月份,10.8
2014年12月份,12.2
2014年11月份,12.3
2014年10月份,12.6
2014年09月份,12.9
2014年08月份,12.8
2014年07月份,13.5
2014年06月份,14.7
2014年05月份,13.4
2014年04月份,13.2
2014年03月份,12.1
2014年02月份,13.3
2014年01月份,13.2
2013年12月份,13.6
2013年11月份,14.2
2013年10月份,14.3
2013年09月份,14.2
2013年08月份,14.7
2013年07月份,14.5
2013年06月份,14.0
2013年05月份,15.8
2013年04月份,16.1
2013年03月份,15.7
2013年02月份,15.2
2013年01月份,15.9
2012年12月份,13.8
2012年11月份,13.9
2012年10月份,14.1
2012年09月份,14.8
2012年08月份,13.5
2012年07月份,13.9
2012年06月份,13.6
2012年05月份,13.2
2012年04月份,12.8
2012年03月份,13.4
2012年02月份,13.0
2012年01月份,12.4
2011年12月份,13.6
2011年11月份,12.7
2011年10月份,12.9
2011年09月份,13.04
2011年08月份,13.5
2011年07月份,14.7
2011年06月份,15.9
2011年05月份,15.1
2011年04月份,15.3
2011年03月份,16.6
2011年02月份,15.7
2011年01月份,17.2
2010年12月份,19.7
2010年11月份,19.5
2010年10月份,19.3
2010年09月份,19.0
2010年08月份,19.2
2010年07月份,17.6
2010年06月份,18.5
2010年05月份,21.0
2010年04月份,21.48
2010年03月份,22.5
2010年02月份,25.52
2010年01月份,25.98
2009年12月份,27.68
2009年11月份,29.74
2009年10月份,29.42
2009年09月份,29.31
2009年08月份,28.53
2009年07月份,28.42
2009年06月份,28.46
2009年05月份,25.74
2009年04月份,25.95
2009年03月份,25.51
2009年02月份,20.48
2009年01月份,18.79
2008年12月份,17.82
2008年11月份,14.8
2008年10月份,15.02
2008年09月份,15.29
2008年08月份,16.0
2008年07月份,16.35
2008年06月份,17.37
2008年05月份,18.07
2008年04月份,16.94
2008年03月份,16.19
2008年02月份,17.39
2008年01月份,18.88
