date,open,high,low,close,volume,turnover
2020-01-02,107.42,109.06,105.91,107.73,20611589.0,2213454651.0
2020-01-03,107.73,110.41,106.18,109.77,18084178.0,1956828809.0
2020-01-06,111.52,114.72,108.01,109.3,26500200.0,2958351780.0
2020-01-07,109.22,109.86,107.62,108.71,13507544.0,1461154189.0
2020-01-08,109.22,111.72,107.31,109.82,19224068.0,2098374347.0
2020-01-09,112.22,115.73,110.23,115.23,20164351.0,2287090666.0
2020-01-10,114.42,114.42,111.9,113.53,14428007.0,1628569248.0
2020-01-13,116.23,118.71,114.42,117.13,21597445.0,2516539925.0
2020-01-14,119.74,120.99,115.41,115.93,21768473.0,2585867747.0
2020-01-15,115.93,117.81,112.43,115.53,17758720.0,2031327383.0
2020-01-16,116.23,116.73,114.07,116.63,12934158.0,1492301747.0
2020-01-17,116.59,117.79,114.22,115.31,14662407.0,1694771901.0
2020-01-20,115.22,125.33,113.12,123.44,24892200.0,2992287057.0
2020-01-21,122.75,123.24,120.7,121.89,14267108.0,1734790907.0
2020-01-22,121.89,134.08,119.61,134.08,34991561.0,4493837402.0
2020-01-23,132.76,137.27,125.35,130.83,35986224.0,4755930193.0
2020-02-03,126.81,143.76,126.75,135.63,52634602.0,7148822247.0
2020-02-04,146.06,149.19,140.28,149.19,35913583.0,5283954890.0
2020-02-05,158.48,164.11,156.61,164.11,53082382.0,8588999757.0
2020-02-06,155.31,170.22,153.29,170.22,57918993.0,9265610936.0
2020-02-07,166.33,169.66,159.26,160.51,45499480.0,7426674365.0
2020-02-10,161.32,168.91,160.31,165.58,37540921.0,6161572537.0
2020-02-11,167.53,168.33,157.91,158.71,33994559.0,5451183357.0
2020-02-12,153.85,162.16,152.33,159.96,32586206.0,5174595056.0
2020-02-13,156.3,159.69,153.99,156.65,31360960.0,4914616428.0
2020-02-14,159.21,160.21,149.15,150.19,43961853.0,6739413555.0
2020-02-17,149.29,156.47,149.17,154.4,34447133.0,5309578996.0
2020-02-18,154.4,159.31,153.15,156.93,28230513.0,4400767114.0
2020-02-19,165.32,165.42,153.19,153.5,41816783.0,6598898914.0
2020-02-20,156.81,165.32,153.3,160.31,51844020.0,8254242623.0
2020-02-21,158.11,162.82,155.52,160.21,33805137.0,5376640660.0
2020-02-24,157.31,160.16,152.78,154.71,36523081.0,5670550935.0
2020-02-25,150.03,165.82,149.13,162.17,51602630.0,8116792625.0
2020-02-26,159.01,161.17,151.0,153.16,33827986.0,5273485009.0
2020-02-27,155.4,156.97,149.09,149.77,33200245.0,5062343300.0
2020-02-28,140.26,145.28,135.78,135.94,50844719.0,7090643686.0
2020-03-02,139.07,142.23,135.21,140.26,31815002.0,4426474527.0
2020-03-03,146.29,149.98,144.18,146.07,29691061.0,4366384639.0
2020-03-04,144.27,146.17,140.05,143.98,20594614.0,2945905656.0
2020-03-05,146.83,148.12,142.28,145.51,22463328.0,3254884224.0
2020-03-06,142.29,147.59,141.78,143.8,15980869.0,2309879439.0
2020-03-09,139.26,141.18,133.26,133.71,29425285.0,4022533012.0
2020-03-10,133.87,141.97,133.27,140.81,29274470.0,4026499804.0
2020-03-11,143.28,148.87,139.07,141.06,33923207.0,4857506589.0
2020-03-12,136.47,137.04,131.58,134.46,33385759.0,4454589855.0
2020-03-13,126.35,134.06,126.26,132.36,27455284.0,3557983787.0
2020-03-16,128.25,129.13,119.12,119.29,49048485.0,5992811656.0
2020-03-17,121.24,123.17,111.47,118.18,39220328.0,4571660104.0
2020-03-18,119.13,123.74,116.23,117.58,31338376.0,3757216350.0
2020-03-19,119.23,119.73,111.91,115.27,33156307.0,3803916537.0
2020-03-20,118.23,119.93,113.44,116.09,22514220.0,2615607082.0
2020-03-23,111.02,111.79,105.22,107.69,30761809.0,3324031004.0
2020-03-24,110.82,113.1,107.21,111.79,29116996.0,3222263479.0
2020-03-25,116.43,122.42,116.23,121.24,38592846.0,4603104636.0
2020-03-26,119.24,122.59,118.53,119.86,19437090.0,2344662560.0
2020-03-27,122.45,123.57,117.59,118.94,17499077.0,2101160340.0
2020-03-30,116.23,120.88,110.92,119.54,26165539.0,3010412507.0
2020-03-31,120.51,123.37,118.09,120.63,19485192.0,2350421158.0
2020-04-01,123.34,125.81,119.31,120.64,29895088.0,3664714147.0
2020-04-02,117.73,123.84,116.94,123.84,20958836.0,2523168230.0
2020-04-03,124.89,125.25,120.04,121.24,18220415.0,2225897354.0
2020-04-07,123.84,126.34,123.26,124.94,18372889.0,2284706365.0
2020-04-08,124.14,125.74,122.84,123.24,11946973.0,1479285370.0
2020-04-09,124.22,124.72,120.05,120.45,16052778.0,1944405073.0
2020-04-10,121.39,123.31,118.16,118.69,14569554.0,1748457124.0
2020-04-13,115.13,117.22,113.3,114.92,12458136.0,1432291942.0
2020-04-14,118.23,126.41,117.73,126.41,38893873.0,4803638074.0
2020-04-15,130.05,132.15,127.48,128.25,32564492.0,4226641423.0
2020-04-16,128.52,133.97,127.07,133.21,21638110.0,2835377037.0
2020-04-17,136.35,140.86,135.37,137.22,29252182.0,4024198915.0
2020-04-20,136.67,137.02,132.14,134.77,18700233.0,2507578390.0
2020-04-21,132.25,133.12,127.25,130.78,19391746.0,2519303195.0
2020-04-22,127.58,132.56,127.55,131.11,14686885.0,1904011483.0
2020-04-23,133.16,133.16,128.85,130.15,12537857.0,1635621702.0
2020-04-24,130.26,136.27,130.26,131.95,16991648.0,2263542699.0
2020-04-27,133.28,136.27,132.34,134.17,14365453.0,1933994989.0
2020-04-28,137.27,140.38,131.88,138.57,22691656.0,3115997363.0
2020-04-29,136.4,140.47,136.28,138.99,11954408.0,1659513004.0
2020-04-30,144.28,148.8,144.28,144.66,23338521.0,3409837973.0
2020-05-06,139.27,147.09,139.02,146.08,19146391.0,2769607852.0
2020-05-07,146.59,147.49,141.28,143.48,16078680.0,2302059541.0
2020-05-08,143.28,145.51,141.17,144.36,14133880.0,2024998125.0
2020-05-11,144.48,146.27,135.33,137.89,28536431.0,3959234289.0
2020-05-12,139.33,140.15,136.0,139.27,16027660.0,2208624439.0
2020-05-13,137.6,139.92,137.15,138.53,12154242.0,1678255895.0
2020-05-14,138.12,138.52,135.77,135.87,11433488.0,1560698259.0
2020-05-15,140.21,147.98,139.23,145.77,32212118.0,4605864489.0
2020-05-18,145.28,145.28,139.96,142.09,16088936.0,2287442334.0
2020-05-19,143.48,146.09,142.8,143.54,10425183.0,1499320586.0
2020-05-20,150.29,155.71,149.3,149.59,32969279.0,5027432242.0
2020-05-21,152.11,153.85,146.87,147.75,15487607.0,2328717776.0
2020-05-22,146.91,147.15,141.28,143.09,14817295.0,2127136883.0
2020-05-25,142.96,144.69,140.83,144.58,10378205.0,1482241104.0
2020-05-26,146.06,150.71,145.49,150.32,17486531.0,2596292602.0
2020-05-27,150.25,155.3,150.19,151.8,18104917.0,2763780108.0
2020-05-28,150.28,151.2,143.78,148.13,17424709.0,2553996974.0
2020-05-29,147.29,148.12,144.78,145.82,14142791.0,2060033605.0
2020-06-01,147.76,153.33,146.65,151.25,15176562.0,2284037537.0
2020-06-02,154.3,155.19,147.27,149.75,13703028.0,2055312033.0
2020-06-03,150.29,151.42,148.1,148.79,11363532.0,1693882301.0
2020-06-04,150.32,154.66,149.11,150.52,13757396.0,2082248432.0
2020-06-05,150.07,151.87,147.77,151.72,9862700.0,1475831341.0
2020-06-08,154.27,155.08,150.98,151.92,10560379.0,1605995419.0
2020-06-09,155.03,156.51,153.63,154.49,15069925.0,2325730460.0
2020-06-10,160.45,160.45,154.03,157.22,19821016.0,3097487315.0
2020-06-11,160.55,170.67,158.68,164.55,36817709.0,6056179350.0
2020-06-12,160.73,163.06,159.43,159.85,25244551.0,4038133987.0
2020-06-15,156.77,161.82,156.05,158.24,15945246.0,2526289033.0
2020-06-16,161.56,163.84,158.56,160.55,13129741.0,2107390563.0
2020-06-17,159.59,161.05,156.55,158.34,12529134.0,1973464262.0
2020-06-18,158.34,160.12,156.54,159.5,9656214.0,1526258396.0
2020-06-19,160.53,169.38,159.7,166.47,25019327.0,4137793352.0
2020-06-22,166.32,171.89,165.07,165.57,19041226.0,3191062037.0
2020-06-23,166.57,169.71,164.08,169.47,15947506.0,2662217151.0
2020-06-24,171.11,174.18,169.88,172.09,14660407.0,2515400581.0
2020-06-29,171.09,173.1,169.59,171.63,11604049.0,1980641413.0
2020-06-30,173.6,180.09,173.6,174.96,16251433.0,2849476588.0
