股票,行业,alpha,alpha_p,beta,beta_p,beta_CI_low,beta_CI_high,R2
平安银行,银行,-0.00026,0.4776,0.9396,0.0,0.8791,1.0001,0.3755
招商银行,银行,5.1e-05,0.8843,0.892,0.0,0.834,0.9499,0.3714
比亚迪,汽车,0.001057,0.0659,1.2731,0.0,1.178,1.3682,0.309
宁德时代,能源,0.001191,0.0419,1.4448,0.0,1.3479,1.5416,0.3569
隆基绿能,能源,-1.2e-05,0.9831,1.3286,0.0,1.231,1.4263,0.316
贵州茅台,白酒,8e-05,0.8117,0.962,0.0,0.9067,1.0173,0.4301
中兴通讯,通讯,-5.7e-05,0.9202,1.2499,0.0,1.1555,1.3443,0.3044
顺丰控股,物流,-5.4e-05,0.9039,0.8655,0.0,0.7916,0.9395,0.2551
保利发展,房地产,-0.000598,0.2492,0.8547,0.0,0.7688,0.9406,0.1981
立讯精密,通讯,0.000506,0.4072,1.3489,0.0,1.2479,1.45,0.3079
